project,commit_hash,file_name,rule,type,severity,tags
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3498,CODE_SMELL,MINOR,convention|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1774,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3512,CODE_SMELL,MINOR,clumsy|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3776,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1541,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1774,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3776,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1541,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1066,CODE_SMELL,MAJOR,clumsy
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3776,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1541,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S134,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S134,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S134,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S134,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3776,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1441,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1535,BUG,MAJOR,
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S134,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1774,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3776,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1441,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1441,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1441,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S134,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S122,CODE_SMELL,MAJOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1541,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1541,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1774,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1774,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1871,CODE_SMELL,MAJOR,design|suspicious
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3776,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1541,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1541,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S134,CODE_SMELL,CRITICAL,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S2427,BUG,MINOR,user-experience
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3525,CODE_SMELL,CRITICAL,es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S126,CODE_SMELL,CRITICAL,
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3723,CODE_SMELL,MINOR,convention
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1192,CODE_SMELL,CRITICAL,design
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S126,CODE_SMELL,CRITICAL,
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S109,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S1774,CODE_SMELL,MAJOR,brain-overload
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3504,CODE_SMELL,CRITICAL,bad-practice|es2015
slick,8e012082552456cc26b8d1234641d363ee21560a,slick/slick.js,S3513,CODE_SMELL,MAJOR,api-design|es2015
